id,reply_time,full_resolution_time,num_replies,is_issue_solved,is_rerouted,is_promoter,group_number,agent,manager,site
1,4277,5208,2,1,1,1,2,Curtis Wilsey Ê,Gracie Shehorn Ê,Willow
2,2508,5071,2,1,0,1,8,Michelina Kawamoto Ê,Junie Grahn Ê,Willow
3,2480,2480,1,0,1,0,2,Kazuko Houge Ê,Antonio Kaspar Ê,Orangewood
4,2478,3592,3,1,1,1,2,Hilaria Holdaway Ê,Alec Hassell Ê,Sequoia
5,2291,2464,2,0,1,0,6,Temika Cloninger Ê,Bart Huth Ê,Orangewood
6,2426,2426,1,1,1,1,2,Leoma Coletti Ê,Junie Grahn Ê,Willow
7,1935,1935,1,1,1,1,4,Ewa Felmlee Ê,Cheryll Minaya Ê,Cypress
8,48,48,1,0,0,0,7,Henry Spadoni Ê,Bart Huth Ê,Orangewood
9,1846,1962,3,0,1,0,3,Shenika Wolery Ê,Earnest Levitsky Ê,Sequoia
10,2018,3888,2,1,1,1,3,Tammie Wallingford Ê,Junie Grahn Ê,Willow
11,1908,2063,2,1,1,1,2,Beatrice Dula Ê,Irish Mcmillin Ê,Cypress
12,1690,1690,1,0,1,1,3,Cindi Cartier Ê,Lauran Kestler Ê,Orangewood
13,1832,1832,1,1,1,1,2,Shelly Minger Ê,Jackie Zuccaro Ê,Sequoia
14,1502,1658,2,0,1,0,3,Tempie Enger Ê,Irish Mcmillin Ê,Cypress
15,1677,1677,1,0,1,1,2,Brittny Reuther Ê,Ahmed Sykes Ê,Pine
16,1679,2669,2,1,1,1,2,Rickey Styron Ê,Bart Huth Ê,Orangewood
17,1579,1579,1,1,1,1,2,Garfield Slifer Ê,Carlos Speaker Ê,Willow
18,1069,1357,4,1,1,1,2,Nadia Labrecque Ê,Gracie Shehorn Ê,Willow
19,1379,1379,1,1,1,1,2,Dorethea Martucci Ê,Irish Mcmillin Ê,Cypress
20,1277,1277,1,1,1,1,3,Aura Korman Ê,Bart Huth Ê,Orangewood
21,1310,1310,1,1,1,0,2,Yoshie Maddix Ê,Jackie Zuccaro Ê,Sequoia
22,1319,2260,2,1,0,1,8,Berna Nunes Ê,Antonio Kaspar Ê,Orangewood
23,1201,2398,2,1,1,1,2,Elia Ketcher Ê,Earnest Levitsky Ê,Sequoia
24,2111,3587,2,1,1,1,4,Anthony Shevlin Ê,Jessie Tsan Ê,Willow
25,2390,2390,1,1,1,1,8,Marisol Shurtliff Ê,Earnest Levitsky Ê,Sequoia
26,2420,2420,1,0,1,0,8,Anglea Jerabek Ê,Gracie Shehorn Ê,Willow
27,3485,9278,2,1,1,1,8,Blossom Stmartin Ê,Irish Mcmillin Ê,Cypress
28,842,842,1,1,1,1,9,Alfredo Coard Ê,Irish Mcmillin Ê,Cypress
29,730,1069,4,0,1,0,4,Agripina Wang Ê,Gracie Shehorn Ê,Willow
30,1044,2304,4,1,1,1,2,Terisa Reith Ê,Junie Grahn Ê,Willow
31,658,658,1,0,1,0,3,Kali Due Ê,Jessie Tsan Ê,Willow
32,523,933,2,1,1,1,7,Aleisha Vossler Ê,Carlos Speaker Ê,Willow
33,2214,2214,1,1,1,1,2,Kitty Dorman Ê,Lauran Kestler Ê,Orangewood
34,355,355,1,1,1,1,4,Jessika Felan Ê,Lauran Kestler Ê,Orangewood
35,178,577,2,1,1,1,3,Darlene Hellard Ê,Kermit Beck Ê,Cypress
36,636,636,1,1,1,1,2,Cecelia Carone Ê,Earnest Levitsky Ê,Sequoia
37,630,1559,3,1,1,1,2,Eldon Fuller Ê,Claude Rasch Ê,Willow
38,629,629,1,1,1,1,2,Aleisha Vossler Ê,Carlos Speaker Ê,Willow
39,1459,1459,1,0,1,0,9,Josephina Rhea Ê,Lauran Kestler Ê,Orangewood
40,1462,1765,3,1,1,0,10,Ezra Ayer Ê,Jessie Tsan Ê,Willow
41,705,4878,2,1,1,1,2,Wilfred Stickland Ê,Cheryll Minaya Ê,Cypress
42,269,793,5,1,1,1,2,Terisa Sweat Ê,Bart Huth Ê,Orangewood
43,16,123,5,0,1,1,6,Lahoma Fillman Ê,Irish Mcmillin Ê,Cypress
44,394,404,2,1,1,1,4,Justin Vera Ê,Kermit Beck Ê,Cypress
45,25,303,2,1,1,1,4,Blossom Stmartin Ê,Irish Mcmillin Ê,Cypress
46,315,838,2,1,1,1,4,Lynette Esses Ê,Loura Wemple Ê,Willow
47,169,169,1,1,0,1,2,Agripina Wang Ê,Gracie Shehorn Ê,Willow
48,261,493,2,0,1,0,4,Herma Sidler Ê,Loura Wemple Ê,Willow
49,346,1370,2,1,1,1,9,Evalyn Border Ê,Antonio Kaspar Ê,Orangewood
